iter	Passed	Remaining
806	9734	2327
807	9744	2315
808	9754	2302
809	9765	2290
810	9775	2278
811	9785	2265
812	9796	2253
813	9805	2240
814	9816	2228
815	9829	2216
816	9839	2204
817	9850	2191
818	9861	2179
819	9870	2166
820	9881	2154
821	9891	2142
822	9902	2129
823	9913	2117
824	9923	2105
825	9941	2094
826	9951	2081
827	9962	2069
828	9973	2057
829	9982	2044
830	9994	2032
831	10004	2020
832	10015	2007
833	10025	1995
834	10038	1983
835	10048	1971
836	10058	1958
837	10068	1946
838	10078	1933
839	10089	1921
840	10099	1909
841	10109	1897
842	10120	1884
843	10130	1872
844	10140	1860
845	10151	1847
846	10162	1835
847	10173	1823
848	10183	1811
849	10193	1798
850	10204	1786
851	10214	1774
852	10224	1762
853	10235	1749
854	10245	1737
855	10255	1725
856	10265	1712
857	10276	1700
858	10287	1688
859	10298	1676
860	10307	1664
861	10318	1651
862	10328	1639
863	10339	1627
864	10350	1615
865	10359	1603
866	10370	1590
867	10381	1578
868	10390	1566
869	10401	1554
870	10410	1541
871	10421	1529
872	10432	1517
873	10442	1505
874	10452	1493
875	10463	1481
876	10473	1468
877	10484	1456
878	10494	1444
879	10505	1432
880	10515	1420
881	10525	1408
882	10535	1396
883	10546	1383
884	10556	1371
885	10567	1359
886	10577	1347
887	10586	1335
888	10597	1323
889	10607	1310
890	10617	1298
891	10628	1286
892	10638	1274
893	10649	1262
894	10660	1250
895	10670	1238
896	10680	1226
897	10690	1214
898	10701	1202
899	10711	1190
900	10723	1178
901	10734	1166
902	10745	1154
903	10754	1142
904	10765	1130
905	10775	1118
906	10785	1105
907	10796	1093
908	10807	1081
909	10817	1069
910	10828	1057
911	10838	1045
912	10848	1033
913	10860	1021
914	10870	1009
915	10881	997
916	10894	986
917	10904	974
918	10915	962
919	10926	950
920	10942	938
921	10952	926
922	10963	914
923	10974	902
924	10983	890
925	10994	878
926	11004	866
927	11014	854
928	11026	842
929	11037	830
930	11046	818
931	11057	806
932	11067	794
933	11077	782
934	11087	770
935	11097	758
936	11108	746
937	11119	734
938	11129	723
939	11140	711
940	11151	699
941	11161	687
942	11171	675
943	11182	663
944	11192	651
945	11203	639
946	11213	627
947	11224	615
948	11235	603
949	11248	592
950	11260	580
951	11271	568
952	11282	556
953	11291	544
954	11303	532
955	11312	520
956	11323	508
957	11334	496
958	11344	484
959	11354	473
960	11364	461
961	11374	449
962	11385	437
963	11395	425
964	11405	413
965	11416	401
966	11426	389
967	11436	378
968	11447	366
969	11457	354
970	11467	342
971	11478	330
972	11488	318
973	11499	306
974	11509	295
975	11520	283
976	11531	271
977	11541	259
978	11552	247
979	11563	235
980	11573	224
981	11584	212
982	11595	200
983	11605	188
984	11616	176
985	11627	165
986	11637	153
987	11648	141
988	11659	129
989	11670	117
990	11680	106
991	11691	94
992	11701	82
993	11713	70
994	11723	58
995	11733	47
996	11744	35
997	11754	23
998	11765	11
999	11775	0
